id;street_address;postal_code;city;state_province
1;geez without;unnecessarily quarrelsome airmail;South Verla;deform with beside
2;massage;tattered;South Miles;yum lest
3;yet;sup;Fort Berylstad;awkwardly follower
4;absent of chime;mostly versus;Lowellfurt;stall furthermore
5;gadzooks;despite;Keithborough;suspiciously wherever
6;hubris whose;towards hateful howl;East Carlo;prohibition gnaw solvency
7;ecliptic;energetically;Waldorf;kookily
8;wearily;hourly;Hoegerport;against flickering ouch
9;gadzooks treble unless;prestigious;North Summerworth;thorny
10;to aw forenenst;oh;Bergnaumcester;excepting scoop
